
  ==========================================
  Studio Pro version: 9.0.4
  Started at: 27/1/2023 10:59:06
  ==========================================
  


  ==========================================
  Studio Pro version: 9.0.4
  Started at: 27/1/2023 10:59:25
  ==========================================
  

[2023-01-27T18:01:18.381Z] : [success]: Your Ejemplo para EV file has been converted to project successfully

[2023-01-27T18:01:20.067Z] : [warn]: There is a small amount of free memory (RAM) left, 91.22% of RAM is being used (7400 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.
[2023-01-30T15:09:41.729Z] : [warn]: There is a small amount of free memory (RAM) left, 93.61% of RAM is being used (7594 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T15:18:11.443Z] : [warn]: There is a small amount of free memory (RAM) left, 93.55% of RAM is being used (7589 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T15:32:11.478Z] : [warn]: There is a small amount of free memory (RAM) left, 91.78% of RAM is being used (7445 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T15:35:11.444Z] : [warn]: There is a small amount of free memory (RAM) left, 91.72% of RAM is being used (7440 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T15:38:11.443Z] : [warn]: There is a small amount of free memory (RAM) left, 91.75% of RAM is being used (7443 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T15:38:29.055Z] : [info]: Internet connection // error

[2023-01-30T15:38:34.880Z] : [success]: Connection to our licenses server is restored

[2023-01-30T15:43:11.437Z] : [warn]: There is a small amount of free memory (RAM) left, 91.44% of RAM is being used (7418 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T15:46:11.436Z] : [warn]: There is a small amount of free memory (RAM) left, 91.22% of RAM is being used (7400 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T15:48:42.131Z] : [warn]: There is a small amount of free memory (RAM) left, 90.58% of RAM is being used (7348 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T15:51:41.655Z] : [warn]: There is a small amount of free memory (RAM) left, 93.13% of RAM is being used (7555 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T15:54:11.481Z] : [warn]: There is a small amount of free memory (RAM) left, 93.8% of RAM is being used (7609 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T15:57:11.567Z] : [warn]: There is a small amount of free memory (RAM) left, 91.24% of RAM is being used (7401 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T15:59:11.495Z] : [warn]: There is a small amount of free memory (RAM) left, 93.93% of RAM is being used (7620 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T16:01:41.626Z] : [warn]: There is a small amount of free memory (RAM) left, 90.73% of RAM is being used (7360 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T16:05:11.563Z] : [warn]: There is a small amount of free memory (RAM) left, 91.8% of RAM is being used (7447 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T16:06:41.708Z] : [warn]: There is a small amount of free memory (RAM) left, 91.53% of RAM is being used (7425 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T16:08:11.553Z] : [warn]: There is a small amount of free memory (RAM) left, 90.71% of RAM is being used (7358 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T16:11:41.774Z] : [warn]: There is a small amount of free memory (RAM) left, 90.3% of RAM is being used (7325 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T16:14:41.728Z] : [warn]: There is a small amount of free memory (RAM) left, 92.21% of RAM is being used (7480 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T16:32:41.808Z] : [warn]: There is a small amount of free memory (RAM) left, 91.05% of RAM is being used (7386 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T16:33:34.281Z] : [info]: Internet connection // error

[2023-01-30T16:34:05.949Z] : [warn]: There is a small amount of free memory (RAM) left, 90.48% of RAM is being used (7340 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T16:40:11.674Z] : [warn]: There is a small amount of free memory (RAM) left, 90.26% of RAM is being used (7322 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T16:41:43.809Z] : [warn]: There is a small amount of free memory (RAM) left, 93.77% of RAM is being used (7607 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T16:47:11.691Z] : [warn]: There is a small amount of free memory (RAM) left, 94.44% of RAM is being used (7661 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T16:57:41.745Z] : [warn]: There is a small amount of free memory (RAM) left, 90.08% of RAM is being used (7307 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T16:59:42.457Z] : [warn]: There is a small amount of free memory (RAM) left, 94.06% of RAM is being used (7630 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T17:01:42.290Z] : [warn]: There is a small amount of free memory (RAM) left, 93.68% of RAM is being used (7599 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T17:04:51.755Z] : [warn]: There is a small amount of free memory (RAM) left, 96.22% of RAM is being used (7805 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T17:07:54.092Z] : [success]: Robot saved successfully

